a52dec 0.7.4-11
liburcu 0.13.2-1
liburing 2.2-1
libusb 1.0.26-1
libusb-compat 0.1.7-1
libusbmuxd 2.0.2-1
libutempter 1.2.1-3
libuv 1.44.2-1
libva 2.15.0-6
libvdpau 1.5-1
libverto 0.3.2-4
libvorbis 1.3.7-3
libvpx 1.12.0-1
libvterm 0.3-1
libwacom 2.4.0-1
libwebp 1.2.4-1
libwnck3 40.1-1
libwpe 1.12.3-1
libx11 1.8.1-3
libxau 1.0.10-1
libxaw 1.0.14-1
libxcb 1.15-1
libxcomposite 0.4.5-4
libxcrypt 4.4.28-2
libxcursor 1.2.1-1
libxcvt 0.1.2-1
libxdamage 1.1.5-4
libxdg-basedir 1.2.3-1
libxdmcp 1.1.3-4
libxext 1.3.4-4
libxfce4ui 4.16.1-1
libxfce4util 4.16.0-1
libxfixes 6.0.0-1
libxfont2 2.0.6-1
libxft 2.3.6-1
libxi 1.8-1
libxinerama 1.1.4-4
libxkbcommon 1.4.1-1
libxkbcommon-x11 1.4.1-1
libxkbfile 1.1.0-3
libxklavier 5.4-3
libxml2 2.10.2-2
libxmu 1.1.3-3
libxpm 3.5.13-3
libxrandr 1.5.2-4
libxrender 0.9.10-5
libxres 1.2.1-1
libxshmfence 1.3-3
libxslt 1.1.37-2
libxss 1.2.3-4
libxt 1.2.1-1
libxtst 1.2.3-5
libxv 1.0.11-5
libxvmc 1.0.13-1
libxxf86vm 1.1.4-5
libyaml 0.2.5-1
libyuv r2322+3aebf69d-1
licenses 20220125-1
light 1.2.2-3
lilv 0.24.20-1
linux 5.19.8.arch1-1
linux-api-headers 5.18.15-1
linux-atm 2.5.2-7
linux-firmware 20220815.8413c63-1
linux-firmware-bnx2x 20220815.8413c63-1
linux-firmware-liquidio 20220815.8413c63-1
linux-firmware-marvell 20220815.8413c63-1
linux-firmware-mellanox 20220815.8413c63-1
linux-firmware-nfp 20220815.8413c63-1
linux-firmware-qlogic 20220815.8413c63-1
linux-firmware-whence 20220815.8413c63-1
lirc 1:0.10.1-12
llvm-libs 14.0.6-3
lm_sensors 1:3.6.0.r41.g31d1f125-1
lmdb 0.9.29-1
lrzip 0.651-2
lsb-release 2.0.r48.3cf5103-1
lsscsi 0.32-1
lua 5.4.4-2
lua51 5.1.5-9
lua53 5.3.6-1
luajit 2.1.0.beta3.r464.g8625eee7-1
lv2 1.18.10-1
lvm2 2.03.16-2
lxappearance 0.6.3-4
lz4 1:1.9.4-1
lzo 2.10-3
lzop 1.04-3
m4 1.4.19-1
mailcap 2.1.53-1
maim 5.7.4-3
make 4.3-3
man-db 2.10.2-1
man-pages 5.13-1
mathjax2 2.7.9-1
md4c 0.4.8-1
mdadm 4.2-2
meld 3.22.0-1
mesa 22.1.7-1
mkinitcpio 31-3
mkinitcpio-busybox 1.35.0-1
mkinitcpio-firmware 1.3.0-2
mkinitcpio-nfs-utils 0.3-7
mobile-broadband-provider-info 20220725-1
modemmanager 1.18.12-1
mpc 0.34-2
mpd 0.23.9-2
mpfr 4.1.0.p13-3
mpg123 1.30.2-1
mplayer 38359-1
msgpack-c 4.0.0-1
mtdev 1.1.6-2
mtools 1:4.0.40-1
nano 6.4-1
nbd 3.24-1
ncdu 2.1.2-1
ncmpcpp 0.9.2-7
ncurses 6.3-3
ndctl 74-1
ndisc6 1.0.5-1
neovim 0.8.1-2
nethogs 0.8.7-1
netplan 0.105-1
nettle 3.8.1-1
networkmanager 1.40.0-1
networkmanager-dmenu-git r161.d1ae627-1
networkmanager-openvpn 1.10.0-1
nfs-utils 2.6.2-1
nfsidmap 2.6.2-1
nilfs-utils 2.2.9-1
nitrogen 1.6.1-4
nm-connection-editor 1.28.0-1
nmap 7.92-1
noto-fonts 20220607-1
noto-fonts-emoji 20211101-1
npth 1.6-3
nspr 4.34.1-1
nss 3.82-1
ntfs-3g 2022.5.17-1
nvme-cli 2.1.2-1
oath-toolkit 2.6.7-1
obconf 2.0.4-7
obmenu-generator 0.91-1
ocl-icd 2.3.1-1
oniguruma 6.9.8-1
open-iscsi 2.1.7-2
open-isns 0.102-1
open-vm-tools 6:12.1.0-1
openal 1.22.2-1
openbox 3.6.1-8
openconnect 1:9.01-2
opencore-amr 0.1.6-1
openjpeg2 2.5.0-1
openmpi 4.1.4-2
openpmix 4.2.0-1
openssh 9.0p1-1
openssl 1.1.1.q-1
openssl-1.0 1.0.2.u-1
openvpn 2.5.7-1
opus 1.3.1-3
orc 0.4.32-1
os-prober 1.80-1
p11-kit 0.24.1-1
p7zip 1:17.04-3
pacman 6.0.1-7
pacman-contrib 1.7.1-1
pacman-mirrorlist 20220828-1
pam 1.5.2-1
pambase 20211210-1
pango 1:1.50.9-1
pangomm 2.46.2-1
partclone 0.3.20-2
parted 3.5-1
partimage 0.6.9-13
patch 2.7.6-8
pavucontrol 1:5.0+r61+gee77d86-2
pbzip2 1.1.13-3
pcaudiolib 1.2-2
pciutils 3.8.0-2
pcre 8.45-2
pcre2 10.40-1
pcsclite 1.9.9-1
perl 5.36.0-1
perl-cairo-gobject 1.004-12
perl-data-dump 1.25-3
perl-error 0.17029-4
perl-glib-object-introspection 0.049-3
perl-gtk3 0.038-2
perl-linux-desktopfiles 0.25-2
perl-mailtools 2.21-6
perl-timedate 2.33-4
picom-ibhagwan-git 1578_Next.297.gc4107bb_2021.11.03-1
pigz 2.7-2
pinentry 1.2.0-1
pipewire 1:0.3.57-1
pixman 0.40.0-2
pixz 1.0.7-3
pkcs11-helper 1.29.0-1
pkgconf 1.8.0-1
plank 0.11.89-4
plymouth 22.02.122-3
polkit 121-1
polybar 3.6.3-2
poppler 22.09.0-1
poppler-glib 22.09.0-1
popt 1.18-3
portaudio 1:19.7.0-1
powertop 2.14-1
ppp 2.4.9-1
pptpclient 1.10.0-2
procps-ng 3.3.17-1
psmisc 23.5-1
pulseaudio 16.1-1
pulseaudio-alsa 1:1.2.7.1-1
pulseaudio-bluetooth 16.1-1
pulseaudio-equalizer-ladspa 3.0.2-5
pv 1.6.20-2
python 3.10.7-1
python-appdirs 1.4.4-7
python-attrs 22.1.0-1
python-autocommand 2.2.1-1
python-cairo 1.21.0-1
python-cffi 1.15.1-1
python-chardet 5.0.0-1
python-configobj 5.0.6.r110.g3e2f4cc-3
python-cryptography 38.0.1-1
python-docopt 0.6.2-11
python-gobject 3.42.2-1
python-idna 3.4-1
python-inflect 6.0.0-1
python-jaraco.context 4.1.2-1
python-jaraco.functools 3.5.1-1
python-jaraco.text 3.9.1-1
python-jinja 1:3.1.2-2
python-jsonpatch 1.32-3
python-jsonpointer 2.3-1
python-jsonschema 4.16.0-1
python-markupsafe 2.1.1-1
python-more-itertools 8.13.0-2
python-netifaces 0.11.0-3
python-nspektr 0.4.0-2
python-oauthlib 3.2.0-1
python-ordered-set 4.1.0-1
python-packaging 21.3-1
python-pillow 9.2.0-1
python-ply 3.11-10
python-psutil 5.9.1-1
python-pycparser 2.21-3
python-pydantic 1.10.2-1
python-pyparsing 3.0.9-1
python-pyrsistent 0.19.0-1
python-pyserial 3.5-4
python-pywal 3.3.0-5
python-requests 2.28.1-1
python-setuptools 1:62.3.4-1
python-six 1.16.0-6
python-tomli 2.0.1-1
python-trove-classifiers 2022.8.31-1
python-typing_extensions 4.3.0-1
python-urllib3 1.26.12-1
python-validate-pyproject 0.10.1-1
python-xlib 0.31-3
python-yaml 6.0-1
python2 2.7.18-5
qpdf 10.6.3-1
qt5-base 5.15.6+kde+r167-1
qt5-declarative 5.15.6+kde+r20-1
qt5-graphicaleffects 5.15.6+kde+r0-1
qt5-quickcontrols2 5.15.6+kde+r5-1
qt5-svg 5.15.6+kde+r9-1
qt5-translations 5.15.6+kde+r2-1
qt5-x11extras 5.15.6+kde+r0-1
qt5ct 1.5-2
ranger 1.9.3-4
rav1e 0.5.1-2
readline 8.1.002-1
recode 3.7.12-1
refind 0.13.3.1-1
reflector 2021.11-5
reiserfsprogs 3.6.27-3
rest 0.8.1+r4+ge5ee6ef-1
ripgrep 13.0.0-2
rofi 1.7.5-1
rp-pppoe 3.15-2
rpcbind 1.2.6-2
rsync 3.2.6-1
rtkit 0.13-2
rtmpdump 1:2.4.r99.f1b83c1-2
run-parts 5.5-1
rxvt-unicode-terminfo 9.30-1
sbc 2.0-1
screen 4.9.0-1
sddm 0.19.0-8
sdl2 2.24.0-2
sdparm 1.12-1
sed 4.8-1
serd 0.30.16-1
sg3_utils 1.47-1
shadow 4.11.1-1
shared-mime-info 2.0+155+gf4e7cbc-1
slang 2.3.3-1
slop 7.5-7
smartmontools 7.3-1
smbclient 4.16.5-1
sof-firmware 2.2.1-1
sord 0.16.14-1
sound-theme-freedesktop 0.8-5
speex 1.2.1-1
speexdsp 1.2.1-1
sqlite 3.39.3-1
squashfs-tools 4.5.1-1
sratom 0.6.14-1
srt 1.5.0-1
sshfs 3.7.3-1
startup-notification 0.12-7
stoken 0.92-4
sudo 1.9.11.p3-1
svt-av1 1.2.1-1
swh-plugins 0.4.17-4
sxhkd 0.6.2-2
sysfsutils 2.1.1-1
systemd 251.4-1
systemd-libs 251.4-1
systemd-resolvconf 251.4-1
systemd-sysvcompat 251.4-1
taglib 1.12-2
talloc 2.3.4-1
tar 1.34-1
tcl 8.6.12-3
tcpdump 4.99.1-1
tdb 1.4.7-1
terminus-font 4.49.1-2
tevent 1:0.13.0-1
texinfo 6.8-2
thin-provisioning-tools 0.9.0-1
thunar 4.16.11-2
thunar-archive-plugin 0.5.0-2
thunar-media-tags-plugin 0.3.0-2
thunar-volman 4.16.0-1
timeshift 22.06.5-1
tmux 3.3_a-2
tpm2-tss 3.2.0-1
tracker3 3.3.3-1
trash-cli 0.22.8.27-1
tree-sitter 0.20.7-1
tslib 1.22-1
ttf-dejavu 2.37+18+g9b5d1b2f-3
tumbler 4.16.1-1
twolame 0.4.0-2
tzdata 2022c-1
udftools 2.3-1
udisks2 2.9.4-1
ueberzug 18.1.9-4
unibilium 2.1.1-1
unrar 1:6.1.7-1
unzip 6.0-19
upd72020x-fw 20200826-3
upower 0.99.20-1
uriparser 0.9.6-1
usb_modeswitch 2.6.1-3
usbmuxd 1.1.1-1
usbutils 014-2
util-linux 2.38.1-1
util-linux-libs 2.38.1-1
v4l-utils 1.22.1-1
vid.stab 1.1-3
viewnior 1.8-2
vim 9.0.0354-1
vim-runtime 9.0.0354-1
virtualbox-guest-utils 6.1.38-1
vmaf 2.3.1-1
volume_key 0.3.12-7
vpnc 1:0.5.3.r506.r204-1
vte-common 0.68.0-2
vte3 0.68.0-2
vulkan-icd-loader 1.3.226-1
wavpack 5.5.0-1
wayland 1.21.0-1
wd719x-firmware 1-7
webkit2gtk 2.36.7-1
webrtc-audio-processing 0.3.1-3
which 2.21-5
wildmidi 0.4.4-1
wireless-regdb 2022.08.12-1
wireless_tools 30.pre9-3
wmctrl 1.07-6
wmname 0.1-5
woff2 1.0.2-4
wpa_supplicant 2:2.10-5
wpebackend-fdo 1.12.1-1
wvdial 1.61-8
wvstreams 4.6.1-18
x264 3:0.164.r3095.baee400-4
x265 3.5-3
xapp 2.2.15-1
xarchiver 0.5.4.19-1
xcb-proto 1.15.2-1
xcb-util 0.4.0-4
xcb-util-cursor 0.1.3-4
xcb-util-image 0.4.0-4
xcb-util-keysyms 0.4.0-4
xcb-util-renderutil 0.3.9-4
xcb-util-wm 0.4.1-4
xcb-util-xrm 1.3-2
xclip 0.13-3
xdg-dbus-proxy 0.1.4-1
xdg-user-dirs 0.18-1
xdg-user-dirs-gtk 0.10+9+g5b7efc6-3
xdg-utils 1.1.3+21+g1a58bc2-2
xdotool 3.20211022.1-1
xf86-input-libinput 1.2.1-1
xf86-input-vmmouse 13.1.0-6
xf86-video-fbdev 0.5.0-3
xf86-video-vesa 2.5.0-3
xf86-video-vmware 13.3.0-4
xfce-polkit 0.3-1
xfce4-notifyd 0.6.4-1
xfce4-power-manager 4.16.0-3
xfce4-settings 4.16.3-1
xfce4-terminal 1.0.4-1
xfconf 4.16.0-2
xfsprogs 5.19.0-1
